epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.912,1.83288,3.05789,1.63058,0.48388,0.22342,0.17419,0.08946,1.8186,2.67156,1.7552,0.0678244,0.000995122,0.000995122
2,97.7742,1.73625,2.38107,1.62208,0.47757,0.314,0.295,0.15841,1.70765,2.36413,1.75771,0.0354903,0.00199439,0.00199439
3,140.753,1.7081,2.17638,1.60755,0.5404,0.39574,0.38423,0.21295,1.66382,1.98035,1.69411,0.00315334,0.00299074,0.00299074
4,186.251,1.68515,2.05797,1.59649,0.54181,0.42866,0.43257,0.23932,1.65259,1.91236,1.68508,0.00299012,0.00299012,0.00299012
5,231.985,1.66976,1.99043,1.5829,0.61514,0.43052,0.47527,0.26462,1.62739,1.76203,1.652,0.00298246,0.00298246,0.00298246
6,276.633,1.65298,1.93635,1.57791,0.59762,0.48455,0.4994,0.28388,1.57139,1.68474,1.63444,0.00297262,0.00297262,0.00297262
7,320.109,1.64695,1.89727,1.56317,0.58733,0.51492,0.52653,0.29399,1.60176,1.5993,1.6474,0.00296063,0.00296063,0.00296063
8,362.988,1.63058,1.84652,1.55051,0.62441,0.54513,0.55982,0.31889,1.54353,1.46758,1.59316,0.0029465,0.0029465,0.0029465
9,405.297,1.60917,1.82145,1.54356,0.64596,0.52002,0.56715,0.32553,1.58044,1.52746,1.61255,0.00293026,0.00293026,0.00293026
10,450.528,1.61468,1.78941,1.52863,0.57678,0.49677,0.51708,0.29754,1.56744,1.68633,1.62897,0.00291192,0.00291192,0.00291192
11,502.494,1.60602,1.7721,1.53629,0.6274,0.53256,0.56928,0.32848,1.54492,1.45548,1.57908,0.00289153,0.00289153,0.00289153
12,544.883,1.59819,1.76756,1.5329,0.62483,0.54558,0.56202,0.32908,1.53288,1.49604,1.57786,0.0028691,0.0028691,0.0028691
